Voltage, Thermistor, Ultrasonic, IR
2235, 27, 57, 137
2239, 27, 59, 138
2241, 27, 60, 135
2239, 27, 57, 134
2238, 27, 58, 136
2238, 27, 56, 138
2235, 27, 57, 137
2238, 27, 57, 134
2238, 27, 58, 136
2239, 27, 58, 136
2238, 27, 65, 138
2235, 27, 68, 133
2240, 27, 57, 134
2226, 27, 79, 136
2237, 27, 57, 132
2236, 27, 57, 33
2233, 27, 57, 44
2236, 27, 65, 64
2238, 27, 59, 115
2239, 27, 59, 137
2238, 27, 81, 138
2236, 27, 64, 138
2239, 27, 81, 135
2240, 27, 70, 138
2237, 27, 71, 135
2237, 27, 60, 138
2235, 27, 59, 139
2237, 27, 61, 137
2240, 27, 62, 138
2238, 27, 61, 136
2238, 27, 72, 139
2236, 27, 59, 138
2239, 27, 60, 29
2237, 27, 58, 33
2237, 27, 58, 44
2237, 27, 58, 66
2235, 27, 64, 119
2238, 27, 96, 136
2239, 27, 63, 139
2238, 27, 60, 20
2237, 27, 58, 28
2234, 27, 62, 36
2236, 27, 61, 49
2239, 27, 70, 77
2239, 27, 66, 137
2235, 27, 60, 139
2238, 27, 67, 137
2238, 27, 67, 135
2238, 27, 65, 137
2239, 27, 81, 139
2234, 27, 86, 138
2239, 27, 70, 137
2240, 27, 61, 136
2238, 27, 67, 137
2237, 27, 58, 140
2236, 27, 61, 138
2238, 27, 79, 137
2242, 27, 95, 138
2238, 27, 72, 138
2235, 27, 76, 139
2235, 27, 101, 138
2240, 27, 74, 138
2240, 27, 68, 136
2240, 27, 64, 139
2238, 27, 63, 137
2240, 27, 63, 137
2240, 27, 64, 137
2240, 27, 61, 139
2236, 27, 68, 137
2238, 27, 61, 137
2237, 27, 62, 138
2241, 27, 61, 136
2239, 27, 75, 140
2235, 27, 68, 137
2238, 27, 65, 138
2239, 27, 63, 137
2238, 27, 61, 140
2235, 27, 59, 138
2238, 27, 57, 136
2240, 27, 62, 136
2237, 27, 59, 15
2233, 27, 66, 16
2236, 27, 61, 19
2235, 27, 58, -1
2236, 27, 65, 21
2237, 27, 61, 28
2235, 27, 59, 36
2237, 27, 57, 50
2236, 27, 59, 77
2238, 27, 59, 137
2236, 27, 64, 139
2240, 27, 58, 136
2242, 27, 57, 138
2239, 27, 57, 137
2235, 27, 57, 139
2239, 27, 62, 138
2239, 27, 61, 137
2239, 27, 75, 137
2235, 27, 69, 140
2239, 27, 60, 137
2238, 27, 59, 138
2237, 27, 59, 137
2238, 27, 56, 140
2234, 27, 61, 139
2237, 27, 58, 136
2239, 27, 62, 141
2237, 27, 61, 139
2235, 27, 59, 136
2239, 27, 60, 138
2240, 27, 68, 139
2238, 27, 57, 138
2235, 27, 57, 137
2239, 27, 64, 137
2239, 27, 67, 138
2235, 27, 61, 138
2233, 27, 63, 139
2238, 27, 58, 139
2236, 27, 59, 139
2238, 27, 59, 137
2235, 27, 56, 139
2238, 27, 61, 137
2238, 27, 59, 138
2239, 27, 59, 138
2241, 27, 56, 140
2237, 27, 64, 138
2238, 27, 63, 138
2240, 27, 75, 136
2238, 27, 60, 139
2235, 27, 58, 138
2238, 27, 59, 138
2240, 27, 57, 137
2239, 27, 64, 139
2234, 27, 62, 16
2236, 27, 59, 17
2237, 27, 59, 20
2237, 27, 57, 22
2234, 27, 57, 24
2238, 27, 59, 24
2237, 27, 57, 24
2235, 27, 58, 21
2234, 27, 64, 28
2237, 27, 63, 26
2237, 27, 58, 23
2238, 27, 58, 30
2234, 26, 57, 38
2237, 27, 64, 54
2235, 27, 69, 87
2237, 27, 63, 136
2234, 27, 66, 139
2237, 27, 72, 138
2239, 27, 65, 138
2239, 27, 59, 137
2234, 27, 58, 141
2237, 27, 63, 137
2238, 27, 80, 138
2239, 27, 84, 137
2235, 27, 107, 140
2238, 27, 63, 138
2238, 27, 59, 138
2221, 27, 59, 137
2234, 27, 77, 140
2239, 27, 75, 137
2237, 27, 59, 138
2238, 27, 86, 137
2236, 27, 79, 140
2240, 27, 76, 138
2238, 27, 88, 137
2239, 27, 80, 137
2236, 27, 57, 140
2236, 27, 58, 138
2237, 27, 58, 138
2240, 27, 64, 137
2237, 27, 57, 139
2240, 27, 59, 138
2240, 27, 66, 137
2237, 27, 69, 137
2236, 27, 56, 140
2235, 27, 58, 139
2240, 27, 57, 137
2237, 27, 58, 139
2239, 26, 58, 140
2240, 27, 59, 138
2240, 27, 61, 138
2239, 27, 58, 137
2236, 27, 69, 142
2238, 27, 59, 138
2240, 27, 62, 138
2238, 27, 62, 137
2235, 27, 70, 139
2237, 27, 59, 138
2238, 27, 57, 137
2238, 27, 57, 136
2234, 27, 56, 141
2239, 27, 57, 138
2239, 27, 57, 138
2236, 27, 57, 137
2235, 27, 56, 140
2238, 27, 57, 138
2235, 27, 59, 137
2238, 27, 57, 137
2234, 27, 56, 141
2240, 27, 63, 138
2238, 27, 57, 136
2239, 27, 58, 138
2234, 27, 56, 139
2238, 27, 59, 138
2237, 27, 57, 136
2238, 27, 57, 137
2234, 27, 56, 137
2238, 27, 57, 137
2237, 27, 57, 138
2239, 27, 59, 137
2234, 27, 57, 137
2238, 27, 58, 138
2238, 27, 57, 137
2238, 27, 57, 138
2233, 27, 57, 138
2237, 27, 59, 138
2237, 27, 58, 138
2240, 27, 58, 139
2234, 27, 61, 137
2239, 27, 59, 136
2240, 27, 59, 137
2238, 27, 57, 138
2235, 27, 61, 138
2237, 27, 68, 137
2238, 27, 59, 137
2237, 27, 65, 139
2236, 27, 64, 138
2238, 27, 58, 136
2239, 27, 57, 137
2238, 27, 57, 139
2236, 27, 57, 138
2239, 27, 58, 137
2239, 27, 57, 137
2238, 27, 56, 140
2238, 27, 62, 138
2237, 27, 65, 138
2238, 27, 61, 136
2237, 27, 59, 139
2240, 27, 75, 139
2237, 27, 62, 138
2239, 27, 58, 137
2235, 27, 56, 140
2237, 27, 58, 137
2239, 27, 57, 137
2238, 27, 57, 139
2234, 27, 59, 139
2238, 27, 63, 138
2240, 27, 65, 136
2237, 27, 63, 136
2235, 27, 58, 138
2238, 27, 57, 138
2237, 27, 57, 137
2237, 27, 58, 139
2235, 27, 57, 138
2236, 27, 57, 137
2236, 27, 57, 138
2240, 27, 57, 139
2235, 27, 57, 137
2238, 27, 57, 138
2238, 27, 57, 137
2239, 27, 56, 139
2233, 27, 59, 136
2239, 27, 71, 138
2237, 27, 59, 138
2238, 27, 56, 139
2235, 27, 73, 138
2237, 27, 59, 137
2238, 27, 57, 137
2236, 27, 56, 140
2236, 27, 58, 138
2239, 27, 58, 137
2238, 27, 59, 137
2235, 27, 56, 141
2238, 27, 57, 137
2239, 27, 57, 137
2237, 27, 61, 137
2234, 27, 56, 139
2236, 27, 61, 138
2241, 27, 58, 137
2239, 27, 61, 138
2234, 27, 57, 138
2225, 27, 57, 137
2238, 27, 58, 137
2237, 27, 57, 138
2235, 27, 57, 138
2238, 27, 57, 137
2236, 27, 57, 137
2239, 27, 56, 139
2235, 27, 58, 139
2239, 27, 57, 138
2240, 27, 57, 137
2236, 27, 56, 139
2237, 27, 71, 138
